DrugBank_ID,Drug_Name,Gene
DB02282,5'-S-methyl-5'-thioadenosine,ADORA2A
DB02282,5'-S-methyl-5'-thioadenosine,ADORA3
DB02282,5'-S-methyl-5'-thioadenosine,rsrIM
DB02282,5'-S-methyl-5'-thioadenosine,MTAP
DB02283,2-Phenylamino-Ethanesulfonic Acid,ccpA
DB02285,Protoporphyrin,HPGDS
DB02285,Protoporphyrin,FTL
DB02287,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,F2
DB02287,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,PRSS1
DB02287,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,PLAU
DB02288,CRA-9334,PRSS1
DB02289,2-Aminopropanedioic Acid,ATM
DB02289,2-Aminopropanedioic Acid,atsA
DB02290,"3-{2,6,8-trioxo-9-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate",ribH
DB02292,Irosustat,STS
DB02292,Irosustat,CA2
DB02294,"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",lacZ
DB02296,Isoamyl alcohol,REN
DB02297,2-Amino-6-Chloropyrazine,CDK2
DB02299,Arginineamide,KCNA4
DB02300,Calcipotriol,VDR
DB02301,"5,10-Methylene-6-Hydrofolic Acid",TMP1
DB02301,"5,10-Methylene-6-Hydrofolic Acid",thyA
DB02301,"5,10-Methylene-6-Hydrofolic Acid",fpgS
DB02301,"5,10-Methylene-6-Hydrofolic Acid",thyA
DB02302,Symmetric dimethylarginine,linB
DB02303,"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",DPYD
DB02305,"4,5-Dehydro-D-Glucuronic Acid",cslA
DB02306,Palmitoyl-Linoleoyl Phosphatidylcholine,PCTP
DB02307,N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,lasB
DB02308,"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",PRSS3
DB02309,5-monophosphate-9-beta-D-ribofuranosyl xanthine,LACZ
DB02309,5-monophosphate-9-beta-D-ribofuranosyl xanthine,ATIC
DB02309,5-monophosphate-9-beta-D-ribofuranosyl xanthine,HPRT1
DB02310,"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",METAP2
DB02311,Methyl Methylsulfinylmethyl Sulfide,FKBP1A
DB02312,beta-D-galactose 6-phosphate,lacG
DB02313,"Ethyl (4R)-4-{[(2R,5S)-2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxo-3-pyrrolidinyl]pentanoate",
DB02314,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,murE
DB02314,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate,murD
DB02315,Cyclic GMP,PDE2A
DB02315,Cyclic GMP,HCN2
DB02315,Cyclic GMP,PRKAR1A
DB02316,"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",fabH
DB02317,Alpha-D-Galactose-1-Phosphate,pgmB
DB02318,2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,MAN2A1
DB02319,"5,6-dihydroxy-NADP",yqhD
DB02320,N-beta-D-glucopyranosylacetamide,PYGM
DB02320,N-beta-D-glucopyranosylacetamide,PYGL
DB02321,"5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol",luxS
DB02322,Heparin Disaccharide I-S,CCL5
DB02323,EM-1745,HSD17B1
DB02324,5-Iodo-2'-Deoxyuridine-5'-Monophosphate,TK1
DB02324,5-Iodo-2'-Deoxyuridine-5'-Monophosphate,TK
DB02325,Isopropyl alcohol,TNF
DB02325,Isopropyl alcohol,PLA2G2A
DB02325,Isopropyl alcohol,GCH1
DB02325,Isopropyl alcohol,HMOX1
DB02325,Isopropyl alcohol,NR1H2
DB02325,Isopropyl alcohol,NOS3
DB02326,1-Hydroxyamine-2-Isobutylmalonic Acid,MMP8
DB02327,Triethylene glycol,budB
DB02327,Triethylene glycol,ganB
DB02327,Triethylene glycol,serC
DB02328,2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid,CTH
DB02329,Carbenoxolone,HSD11B1
DB02329,Carbenoxolone,
DB02331,"(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid",
DB02332,Flavin-N7 protonated-adenine dinucleotide,choA
DB02333,Deoxyuridine-5'-Triphosphate,maf
DB02333,Deoxyuridine-5'-Triphosphate,pol
DB02333,Deoxyuridine-5'-Triphosphate,dcd
DB02333,Deoxyuridine-5'-Triphosphate,dut
DB02333,Deoxyuridine-5'-Triphosphate,dut
DB02334,(R)-2-Hydroxy-3-Sulfopropanoic Acid,comB
DB02335,2-Aminothiazoline,NOS3
DB02335,2-Aminothiazoline,NOS2
DB02335,2-Aminothiazoline,NOS1
DB02336,RU83876,SRC
DB02337,S-(D-Carboxybutyl)-L-Homocysteine,BHMT
DB02338,NADPH,TXNRD1
DB02338,NADPH,zwf
DB02338,NADPH,PTR1
DB02338,NADPH,gfo
DB02338,NADPH,DPYD
DB02338,NADPH,AASS
DB02339,Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,shc
DB02340,N-Acetyl-Serine,F13A1
DB02341,"Mdl 101,146",CELA1
DB02341,"Mdl 101,146",ELANE
DB02342,2-Methoxyestradiol,HIF1A
DB02342,2-Methoxyestradiol,COMT
DB02342,2-Methoxyestradiol,CYP1A1
DB02342,2-Methoxyestradiol,CYP1B1
DB02342,2-Methoxyestradiol,CYP19A1
DB02343,"3,6,9,12,15-Pentaoxaheptadecane",ACHE
DB02343,"3,6,9,12,15-Pentaoxaheptadecane",murI
DB02343,"3,6,9,12,15-Pentaoxaheptadecane",kynU
DB02345,Selenocysteine,CAMP
DB02345,Selenocysteine,NME1
DB02345,Selenocysteine,fdhF
DB02345,Selenocysteine,sufS
DB02346,3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside,csd
DB02347,2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,GRIK1
DB02347,2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,GRIA2
DB02348,Monofluorophosphate ion,PYGM
DB02350,"N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide",MMP3
DB02352,3-(Benzyloxy)Pyridin-2-Amine,MAPK14
DB02352,3-(Benzyloxy)Pyridin-2-Amine,LTA4H
DB02353,Heparin Disaccharide Iii-S,CCL5
