Gene1,Gene2,Score
RPL12,RPS15A,4.0684736392566
DNAJA2,HSPA1L,4.06785376818873
GATC,QRSL1,4.0674652464945
CDAN1,ASF1B,4.06720988287994
CD2BP2,EFTUD2,4.06720988287994
SRRM2,YWHAG,4.06720988287994
FBXO5,CDC20,4.06718613484469
RPL21,RPLP2,4.06713638507235
TSFM,MRRF,4.06641451156051
NDUFS7,ND1,4.06620321472429
ATP5F1A,ATP5PF,4.06582990413181
RPL19,RPS15A,4.06500206361926
MRPL2,MRPS17,4.06402503393586
HSPA2,DNAJB11,4.06038822712498
POLR2E,POLR2F,4.05907360165139
MRPL27,GTPBP10,4.05871043570924
PSMC2,PSMD2,4.05807402394834
RPS7,RPS15A,4.05804210605572
RPL11,RPL23,4.0571662022037
RPL30,RPS17,4.05669551913277
NDUFAB1,HSD17B8,4.05616742389109
RCC1,RAN,4.05519097533154
PSMA3,PSMA6,4.05500255380758
RPL19,RPS12,4.05438382849993
RPS13,RPS15A,4.05397965272993
PGLS,H6PD,4.05372650141071
MRPL2,RPS3,4.0536228813614
PSMD12,PSMD13,4.0532866806478
RPL5,RPS11,4.05322316347246
RPL41,RPS11,4.05251420305735
RPL7,RPL17,4.05249610319873
RPL8,RPS3,4.05232908664746
RPS11,RPS28,4.05224548504114
PDHB,PDHX,4.05178679899561
F11,KNG1,4.05154927941733
RPS11,RPS15,4.05143850026779
RPLP2,RPS17,4.0508128859243
RPL7,RPS18,4.05012975939344
ND4,NDUFS8,4.04955698281485
TRUB1,MTIF2,4.04948462521501
HSPA9,DNAJA4,4.04894869731135
ISCU,NFS1,4.04892593448937
RPL11,RPL12,4.04812166648022
DNAJA2,HSPA8,4.04689731691986
PSMA2,PSMB4,4.04632535708058
RPS17,RPS23,4.04627042747693
FNTA,FNTB,4.04480848061107
RPS11,RPS27A,4.04417104930111
PSMA6,PSMC1,4.04394756080014
RPL31,RPS15A,4.04358734202295
RPL23A,RPS7,4.04260302583501
RPLP1,RPS27,4.04228753353913
RPS11,MRPL14,4.04188397516099
RPL7,RPS3,4.04150366919133
PSMC2,PSMC4,4.04144073681794
RPL23A,RPL36A,4.04100011775515
DNAJA2,HSPA4L,4.04055499084533
DNAJA2,HSPA14,4.04050075703725
RPL9,RPL23,4.03997901456536
NUS1,MRRF,4.03767285437378
DNAJA2,HSPA5,4.0374964998667
MRPL2,RPL17,4.03702560249259
FAU,RPS11,4.03682474084917
ND1,ND4,4.03520951638168
RPL3,RPS15,4.0345576990958
COX2,COX3,4.03442372744976
HSPA4,DNAJA3,4.03403567201341
DHDDS,MRRF,4.03401706432049
RPL12,RPS13,4.03372329310151
HSPA5,DNAJB9,4.03350991274531
RPL6,RPS15,4.03255794705585
DNAJA1,HSPA1L,4.03204484236529
RPS5,GFM1,4.03199421974786
MCM3,MCM5,4.03095254431753
RPS17,RPS28,4.03057388470286
MRPL22,RPL8,4.03002261810612
POLR2D,POLR2G,4.02991583776008
RPL9,RPS17,4.02865078647548
DNAJA1,HSPA13,4.02843035409046
RUVBL2,RUVBL1,4.02814354051455
H2AC6,H2BC12,4.02779829409003
H2AC6,H2BC8,4.02771116530022
RPL12,RPL31,4.02717868080242
H2BC5,H2AC6,4.02713129227646
COX18,GTPBP3,4.02673808954444
HSPD1,HSPE1,4.02580571655056
PSMA1,PSMA3,4.02566027632655
HSPA9,DNAJC10,4.02528987098056
MRPL4,RPS20,4.02402336121528
CYC1,CYTB,4.02375276278038
MRPS17,RPS3,4.02368833000628
EEF1G,RPS15,4.02332830798014
H2AC6,H2BC21,4.02317027276809
NDUFS7,NDUFV2,4.02234009399702
RPL19,RPL41,4.02166987680633
MRPL2,MRPS10,4.02144577336395
HEMK1,MTRF1,4.02130153138179
H2AC6,H2BC11,4.02128945570815
DNAJA1,HSPA5,4.02060792072039
RPL5,RPL7,4.02051988832913
MTG2,MRPL27,4.0204249114848
HSPA4,DNAJB9,4.02035580019648
RPL26,RPS11,4.01901354198454
DNAJA1,HSPA14,4.01788417368631
RPL11,RPS2,4.01763978511143
RPLP2,RPS24,4.01743370479825
RPS18,MRPS11,4.01725925318756
RPL38,RPL41,4.01690740956411
H2AC17,H2BC11,4.01629442530326
RPL13A,RPL5,4.01611514277226
RPL4,RPLP2,4.01604850463339
RPLP0,RPLP2,4.01580775727996
RPS6,RPS7,4.01577282213642
RPL12,RPL19,4.01576823680175
ND1,ND2,4.01536687633716
DNAJA2,HSPH1,4.01486997786877
TGDS,MAT2B,4.01465312142552
PSMA5,PSMD4,4.01405926531934
RPL9,RPS11,4.01403308526991
H2AC18,H2BC21,4.0136452371109
H2AC6,H2BC7,4.01345235376554
H2AC18,H2BC11,4.01335045756926
RPS11,RPS23,4.01308947774326
MRPL17,MRPS11,4.01305693941538
CYC1,UQCRFS1,4.01290400882122
H2BC8,H2AC25,4.01274963416094
RPS15A,MRPL24,4.01253204559574
MRPS10,RPL23A,4.01188928339968
EEF1A1,RPS15,4.01181711570036
H2BC5,H2AC25,4.01142282240938
GTF2E1,GTF2E2,4.01126850400536
H2AC18,H2BC8,4.01121825829131
H2AC7,H2BC11,4.01097114029854
RPL9,RPL12,4.01065477105895
VPS29,VPS35,4.01063761037635
RPL4,RPL26,4.0104474934975
H2AC6,H2BC15,4.01027748941372
RPL37,RPS27,4.01016780186841
H2AC16,H2BC8,4.00993638046278
MCM4,MCM6,4.00977861734311
H2BC12,H2AC25,4.00934165841704
DBF4,CDC7,4.00917444995085
PSMC3,PSMC4,4.00905960276044
RPL17,RPL23A,4.00863035239972
MRPL22,RPL23A,4.00822236760265
H2AC17,H2BC21,4.00726280781976
PSMA4,PSMA5,4.00682243969009
H2AC6,H2BC13,4.00670302817387
PSMC5,PSMC6,4.00661792052437
H2AC18,H2BC12,4.00660501231232
RPLP2,RPS27A,4.00644074407741
H2BC21,H2AC25,4.00627491059988
H2AC17,H2BC8,4.00610174162441
RPLP0,RPS17,4.00554637430404
PSMD3,PSMD8,4.00539537154439
RPL7A,RPS17,4.0053720961377
RPL7A,RPS11,4.00514883083288
RPS3A,RPS17,4.004855695841
H2BC11,H2AC25,4.00444106402038
RPL19,RPLP1,4.00429017693681
RPS6,RPS27,4.00406370071543
MSH6,MSH2,4.00347705221986
GLDC,AMT,4.00317808232844
RPL7,RPL10,4.00197384469056
PLK1,CDC25C,4.00191313383125
HSPA5,DNAJA3,4.00167900359112
RPL5,RPL11,4.00159250903284
PSMB5,CDC20,4.00147225819544
MAPK1,MAP2K2,4.00122736886078
ND4,ND4L,4.00111496177875
H2BC5,H2AC18,4.00097540664754
H2AC16,H2BC21,4.00050415158696
RPL11,RPL14,4.00002592284213
MRPL11,MRPL1,3.99900601890202
H2AC17,H2BC12,3.998904508451
RPS3,RPL23,3.99883352133149
