ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID,miRNA_ID,Drug_ID,Pair_ID,PairEvidenceCount
hsa-mir-103a-3p,miRNA,TAMOXIFEN,DB00675,2733525,11,123,11_123,1
hsa-mir-103a-3p,miRNA,FLUOROURACIL,DB00544,3385,11,7,11_7,1
hsa-mir-103a-3p,miRNA,CAMPTOTHECIN,DB04690,24360,11,186,11_186,1
hsa-mir-103a-3p,miRNA,CISPLATIN,DB00515,5460033,11,103,11_103,1
hsa-mir-103a-3p,miRNA,ETOPOSIDE,DB00773,36462,11,68,11_68,1
hsa-mir-103a-3p,miRNA,OLAPARIB,DB09074,23725625,11,151,11_151,1
hsa-mir-103a-3p,miRNA,OXALIPLATIN,DB00526,6857599,11,204,11_204,1
hsa-mir-103a-3p,miRNA,IMATINIB,DB00619,5291,11,41,11_41,1
hsa-mir-103a-3p,miRNA,PLATINUM,DB12257,23939,11,188,11_188,1
hsa-mir-103a-3p,miRNA,DEXAMETHASONE,DB01234,5743,11,43,11_43,1
hsa-mir-103a-3p,miRNA,GEFITINIB,DB00317,123631,11,84,11_84,1
hsa-mir-103a-3p,miRNA,PACLITAXEL,DB01229,36314,11,67,11_67,2
hsa-mir-103a-3p,miRNA,SORAFENIB,DB00398,216239,11,74,11_74,1
hsa-mir-103a-3p,miRNA,ANTHRACYCLINE,DB00694,30323,11,88,11_88,1
hsa-mir-103a-3p,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907,11,16,11_16,1
hsa-mir-103a-3p,miRNA,METHOTREXATE,DB00563,126941,11,81,11_81,1
hsa-mir-103a-3p,miRNA,TAXOL,DB01229,36314,11,67,11_67,2
hsa-mir-105-5p,miRNA,NAVITOCLAX,DB12340,24978538,12,209,12_209,1
hsa-mir-105-5p,miRNA,TAMOXIFEN,DB00675,2733525,12,123,12_123,1
hsa-mir-105-5p,miRNA,DOCETAXEL,DB01248,148124,12,3,12_3,1
hsa-mir-105-5p,miRNA,SORAFENIB,DB00398,216239,12,74,12_74,1
hsa-mir-105-5p,miRNA,CISPLATIN,DB00515,5460033,12,103,12_103,1
hsa-mir-105-5p,miRNA,DABRAFENIB,DB08912,44462760,12,142,12_142,1
hsa-mir-105-5p,miRNA,VEMURAFENIB,DB08881,42611257,12,148,12_148,1
hsa-mir-105-5p,miRNA,FLUOROURACIL,DB00544,3385,12,7,12_7,1
hsa-mir-105-5p,miRNA,GEFITINIB,DB00317,123631,12,84,12_84,1
hsa-mir-105-5p,miRNA,PACLITAXEL,DB01229,36314,12,67,12_67,1
hsa-mir-105-5p,miRNA,PROPOFOL,DB00818,4943,12,40,12_40,1
hsa-mir-106a-5p,miRNA,DOXORUBICIN,DB00997,31703,13,89,13_89,1
hsa-mir-106a-5p,miRNA,CISPLATIN,DB00515,5460033,13,103,13_103,1
hsa-mir-106a-5p,miRNA,TAMOXIFEN,DB00675,2733525,13,123,13_123,1
hsa-mir-106a-5p,miRNA,ETOPOSIDE,DB00773,36462,13,68,13_68,1
hsa-mir-106a-5p,miRNA,PACLITAXEL,DB01229,36314,13,67,13_67,1
hsa-mir-106a-5p,miRNA,VINCRISTINE,DB00541,5978,13,177,13_177,1
hsa-mir-106a-5p,miRNA,GEMCITABINE,DB00441,60750,13,55,13_55,1
hsa-mir-106a-5p,miRNA,OXALIPLATIN,DB00526,6857599,13,204,13_204,1
hsa-mir-106a-5p,miRNA,FLUOROURACIL,DB00544,3385,13,7,13_7,1
hsa-mir-106a-5p,miRNA,GEFITINIB,DB00317,123631,13,84,13_84,1
hsa-mir-106a-5p,miRNA,DASATINIB,DB01254,3062316,13,100,13_100,1
hsa-mir-106a-5p,miRNA,DAUNORUBICIN,DB00694,30323,13,88,13_88,1
hsa-mir-106a-5p,miRNA,TEMOZOLOMIDE,DB00853,5394,13,174,13_174,1
hsa-mir-106b-5p,miRNA,DOXORUBICIN,DB00997,31703,14,89,14_89,1
hsa-mir-106b-5p,miRNA,SORAFENIB,DB00398,216239,14,74,14_74,1
hsa-mir-106b-5p,miRNA,PACLITAXEL,DB01229,36314,14,67,14_67,1
hsa-mir-106b-5p,miRNA,CISPLATIN,DB00515,5460033,14,103,14_103,1
hsa-mir-106b-5p,miRNA,FLUOROURACIL,DB00544,3385,14,7,14_7,1
hsa-mir-106b-5p,miRNA,OXALIPLATIN,DB00526,6857599,14,204,14_204,1
hsa-mir-106b-5p,miRNA,TAMOXIFEN,DB00675,2733525,14,123,14_123,1
hsa-mir-106b-5p,miRNA,AXITINIB,DB06626,6450551,14,98,14_98,1
hsa-mir-106b-5p,miRNA,NUTLIN-3,DB17039,216345,14,63,14_63,1
hsa-mir-106b-5p,miRNA,DAUNORUBICIN,DB00694,30323,14,88,14_88,1
hsa-mir-106b-5p,miRNA,GEFITINIB,DB00317,123631,14,84,14_84,1
hsa-mir-106b-5p,miRNA,GEMCITABINE,DB00441,60750,14,55,14_55,1
hsa-mir-106b-5p,miRNA,TEMOZOLOMIDE,DB00853,5394,14,174,14_174,1
hsa-mir-107,miRNA,CERITINIB,DB09063,57379345,15,160,15_160,1
hsa-mir-107,miRNA,DOXORUBICIN,DB00997,31703,15,89,15_89,1
hsa-mir-107,miRNA,PACLITAXEL,DB01229,36314,15,67,15_67,2
hsa-mir-107,miRNA,TAMOXIFEN,DB00675,2733525,15,123,15_123,1
hsa-mir-107,miRNA,FLUOROURACIL,DB00544,3385,15,7,15_7,1
hsa-mir-107,miRNA,CAMPTOTHECIN,DB04690,24360,15,186,15_186,1
hsa-mir-107,miRNA,CISPLATIN,DB00515,5460033,15,103,15_103,1
hsa-mir-107,miRNA,ETOPOSIDE,DB00773,36462,15,68,15_68,1
hsa-mir-107,miRNA,OLAPARIB,DB09074,23725625,15,151,15_151,1
hsa-mir-107,miRNA,OXALIPLATIN,DB00526,6857599,15,204,15_204,1
hsa-mir-107,miRNA,IMATINIB,DB00619,5291,15,41,15_41,1
hsa-mir-107,miRNA,PLATINUM,DB12257,23939,15,188,15_188,1
hsa-mir-107,miRNA,TRAMETINIB,DB08911,11707110,15,101,15_101,1
hsa-mir-107,miRNA,VEMURAFENIB,DB08881,42611257,15,148,15_148,1
hsa-mir-107,miRNA,PARTHENOLIDE,DB13063,6473881,15,132,15_132,1
